id_question, level_type, title_question, conten_question, instruction_question, name_topic
0,"De","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
1,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
2,"Trung Binh","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
3,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
4,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
5,"Trung Binh","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
6,"Trung Binh","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
7,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
8,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
9,"De","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
10,"De","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
11,"Trung Binh","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
12,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
13,"De","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
14,"Trung Binh","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
15,"De","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
16,"Kho","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
17,"Trung Binh","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
18,"De","title:e Toasn ddai so","CONTENT:Caau hoi 1 1+2 bawngf bao nhieu ?","Instruction :Motj cong mot ma khoing biet thif chiuj :v"
